metric,known,novel,all
first_frame_diff,10.8384,8.850574712643677,10.595505617977528
iou,0.3713038486479026,0.35377586654617665,0.36905852862660715
accuracy_2,0.788720695400238,0.7949037843051998,0.7894762132860972
accuracy_all,0.5301871985829799,0.5408576743500346,0.5314910348073251
recall,0.3723110384762287,0.4015291787084492,0.37588123257763767
precision,0.3520984006524086,0.34047884040180293,0.35067859483527
f1_0,0.09551554884314536,0.09245883947473833,0.0951420464343653
f1_1,0.6155691730141639,0.6245991209971493,0.616672551489613
f1_2,0.3142879403591156,0.32088338044183007,0.31509384385236866
f1_all,0.3417908877789974,0.3459804463146747,0.34230281417310404
total_iou,0.3330896686159844,0.3428827215756491,0.3342627345844504
