metric,known,novel,all
first_frame_diff,10.7168,10.816091954022989,10.728932584269662
iou,0.016442936959976947,0.01638504864311316,0.016435521514428276
accuracy_2,0.8193007364749908,0.8242981464698397,0.8199113750558221
accuracy_all,0.3804611490231323,0.3824719559717813,0.3807068515575881
recall,0.013713782119750977,0.013136289071762699,0.013643217660235555
precision,0.01622835910320282,0.022126436918631368,0.016949051195818386
f1_0,0.4824499924600124,0.4698403323947013,0.4809092053452904
f1_1,0.01967457489967346,0.03523677450486983,0.02157613580648819
f1_2,0.01334568431377411,0.016268789254385848,0.013702861462416274
f1_all,0.1718234186321497,0.17378196638377233,0.17206273556247437
total_iou,0.026458333333333334,0.032357473035439135,0.027160946962745458
